horizon,model,valid_r2,valid_rmse,valid_mae,test_r2,test_rmse,test_mae
14,XGBoost,0.016031148234697423,336.78096808396833,178.92285601298013,-0.18140634599793737,2570.355725238107,1041.4586316138198
14,Random Forest,0.019373295566400217,336.2085266813496,172.5899878085049,-0.14904641565342347,2534.9089706695067,996.0337851509117
14,Gradient Boosting,0.0324588261155222,333.9578015329919,171.86989453985208,-0.10602368556211084,2487.0000608248747,951.5029812732645
14,Ridge,0.1645559006070424,310.3241422311787,164.40516554409982,-0.20844396007868382,2599.601864835324,1099.536533177572
14,Linear,0.16449879318264393,310.33474827272454,164.40671891106473,-0.2084367452432352,2599.594104555037,1099.519303832784
15,XGBoost,0.013664555747463392,326.23461731300057,167.09569256122296,-0.18527079825206294,2580.1458268580627,1051.3725429396554
15,Random Forest,0.005453195428855584,327.58977376597454,163.9425002211618,-0.17231215070076678,2566.0026070968634,1028.2422561025949
15,Gradient Boosting,0.018467609314537947,325.43933281859836,164.14186193554858,-0.13261229046963585,2522.180102001066,993.7891661819448
15,Ridge,0.1554966302472628,301.8689306854395,156.1888687489916,-0.21210406092511125,2609.188244886076,1109.2489464269454
15,Linear,0.1554268847243674,301.8813957462601,156.19341880622267,-0.21209266513692637,2609.1759795091093,1109.2379800118526
